epoch,step,min,max,mean,std
1,1000,-4.863915920257568,5.2967987060546875,-0.40582555532455444,1.0069539546966553
2,2000,-1.5958585739135742,2.480515718460083,-0.012767478823661804,0.43634846806526184
3,3000,-1.672729730606079,2.0366218090057373,0.059238679707050323,0.34892234206199646
4,4000,-3.51676344871521,1.3644318580627441,-0.16627605259418488,0.48484382033348083
5,5000,-0.9812694787979126,1.0467017889022827,-0.04442740976810455,0.17240092158317566
6,6000,-0.6065086722373962,1.2723100185394287,0.04996005445718765,0.191043883562088
7,7000,-0.49084293842315674,1.0347635746002197,0.07064946740865707,0.17330314218997955
8,8000,-0.5501096844673157,0.5661228895187378,-0.0035549942404031754,0.09478162974119186
9,9000,-0.588158130645752,0.18075093626976013,-0.03809753805398941,0.08404689282178879
10,10000,-0.31950509548187256,0.20557501912117004,0.0031332075595855713,0.04678371548652649
