epoch,step,min,max,mean,std
1,1000,0.7971010804176331,0.7971010804176331,0.7971010804176331,0.0
2,2000,0.7897627949714661,0.7897627949714661,0.7897627949714661,0.0
3,3000,0.782353937625885,0.782353937625885,0.782353937625885,0.0
4,4000,0.7746859788894653,0.7746859788894653,0.7746859788894653,0.0
5,5000,0.7668415904045105,0.7668415904045105,0.7668415904045105,0.0
6,6000,0.7589113116264343,0.7589113116264343,0.7589113116264343,0.0
7,7000,0.7509680390357971,0.7509680390357971,0.7509680390357971,0.0
8,8000,0.743073582649231,0.743073582649231,0.743073582649231,0.0
9,9000,0.735271155834198,0.735271155834198,0.735271155834198,0.0
10,10000,0.7275496125221252,0.7275496125221252,0.7275496125221252,0.0
