epoch,step,min,max,mean,std
1,1000,-0.05394238978624344,0.025089081376791,-0.002872904296964407,0.012558734975755215
2,2000,-0.06596177816390991,0.024300875142216682,-0.004748817533254623,0.01521493773907423
3,3000,-0.1613345444202423,0.07710649073123932,-0.008647417649626732,0.03265133127570152
4,4000,-0.081216961145401,0.0529138520359993,-0.002927538938820362,0.019575100392103195
5,5000,-0.09205421060323715,0.03229223191738129,-0.00861411727964878,0.01991281285881996
6,6000,-0.15366315841674805,0.05884905904531479,-0.011752074584364891,0.03152836114168167
7,7000,-0.10397540777921677,0.04937434941530228,-0.005645907483994961,0.022554518654942513
8,8000,-0.1707267165184021,0.09425447881221771,-0.012481717392802238,0.040081869810819626
9,9000,-0.0961211770772934,0.03643499314785004,-0.001757405698299408,0.014277405105531216
10,10000,-0.17419922351837158,0.044966921210289,-0.008010156452655792,0.028478477150201797
