epoch,step,min,max,mean,std
1,1000,-0.730099618434906,-0.730099618434906,-0.730099618434906,0.0
2,2000,-0.5069296956062317,-0.5069296956062317,-0.5069296956062317,0.0
3,3000,-0.8889843821525574,-0.8889843821525574,-0.8889843821525574,0.0
4,4000,-0.5214719772338867,-0.5214719772338867,-0.5214719772338867,0.0
5,5000,-0.49959346652030945,-0.49959346652030945,-0.49959346652030945,0.0
6,6000,-0.7587703466415405,-0.7587703466415405,-0.7587703466415405,0.0
7,7000,-0.591008186340332,-0.591008186340332,-0.591008186340332,0.0
8,8000,-0.9108016490936279,-0.9108016490936279,-0.9108016490936279,0.0
9,9000,-0.2645072340965271,-0.2645072340965271,-0.2645072340965271,0.0
10,10000,-0.6016995310783386,-0.6016995310783386,-0.6016995310783386,0.0
