epoch,step,min,max,mean,std
1,1000,-11634.21484375,-11634.21484375,-11634.21484375,0.0
2,2000,-24941.72265625,-24941.72265625,-24941.72265625,0.0
3,3000,-38314.01171875,-38314.01171875,-38314.01171875,0.0
4,4000,-51678.5,-51678.5,-51678.5,0.0
5,5000,-65051.30859375,-65051.30859375,-65051.30859375,0.0
6,6000,-78421.8359375,-78421.8359375,-78421.8359375,0.0
7,7000,-91788.3671875,-91788.3671875,-91788.3671875,0.0
8,8000,-105149.03125,-105149.03125,-105149.03125,0.0
9,9000,-118506.875,-118506.875,-118506.875,0.0
10,10000,-131880.109375,-131880.109375,-131880.109375,0.0
11,11000,-145249.53125,-145249.53125,-145249.53125,0.0
12,12000,-158617.5625,-158617.5625,-158617.5625,0.0
13,13000,-171989.203125,-171989.203125,-171989.203125,0.0
14,14000,-185351.359375,-185351.359375,-185351.359375,0.0
15,15000,-198717.859375,-198717.859375,-198717.859375,0.0
