epoch,step,min,max,mean,std
1,1000,-66.84357452392578,-66.84357452392578,-66.84357452392578,0.0
2,2000,-59.230499267578125,-59.230499267578125,-59.230499267578125,0.0
3,3000,-56.7349853515625,-56.7349853515625,-56.7349853515625,0.0
4,4000,-50.97618865966797,-50.97618865966797,-50.97618865966797,0.0
5,5000,-46.279693603515625,-46.279693603515625,-46.279693603515625,0.0
6,6000,-41.65920639038086,-41.65920639038086,-41.65920639038086,0.0
7,7000,-37.67369079589844,-37.67369079589844,-37.67369079589844,0.0
8,8000,-35.29810333251953,-35.29810333251953,-35.29810333251953,0.0
9,9000,-31.51111602783203,-31.51111602783203,-31.51111602783203,0.0
10,10000,-29.00058364868164,-29.00058364868164,-29.00058364868164,0.0
