epoch,step,min,max,mean,std
1,1000,-0.14113318920135498,0.19738039374351501,0.05279691889882088,0.10449612140655518
2,2000,-0.08623495697975159,0.14254118502140045,0.05227306857705116,0.05908966436982155
3,3000,-0.10270579159259796,0.037904754281044006,-0.009678080677986145,0.02887689508497715
4,4000,-0.08960339426994324,0.017057422548532486,-0.01191951334476471,0.02363673970103264
5,5000,-0.09470383077859879,-0.013375451788306236,-0.0363151840865612,0.020246516913175583
6,6000,-0.0603952556848526,-0.0004949383437633514,-0.013013013638556004,0.015154235064983368
7,7000,-0.029209591448307037,-0.007944400422275066,-0.011918297037482262,0.004278809297829866
8,8000,-0.022202184423804283,-0.006661269813776016,-0.01357465609908104,0.0033642114140093327
9,9000,-0.02568253129720688,0.0012597739696502686,-0.014628901146352291,0.006740096025168896
10,10000,-0.014120684936642647,-0.0058805132284760475,-0.011557353660464287,0.002233031438663602
11,11000,-0.02127744071185589,-0.01417526975274086,-0.018217550590634346,0.0020972583442926407
12,12000,-0.024888161569833755,-0.01391238160431385,-0.01915820874273777,0.003490800503641367
13,13000,-0.020068835467100143,-0.012723335064947605,-0.016242388635873795,0.002170509658753872
14,14000,-0.018924720585346222,-0.010968639515340328,-0.013814001344144344,0.0025307023897767067
15,15000,-0.03585946559906006,-0.01215602457523346,-0.028942938894033432,0.006775231566280127
