epoch,step,min,max,mean,std
1,1000,-0.6977566480636597,1.1821542978286743,-0.006675763987004757,0.13739809393882751
2,2000,-0.7228652238845825,1.4562047719955444,-0.004645640961825848,0.1461334377527237
3,3000,-0.9084135293960571,2.7345433235168457,5.333882290869951e-05,0.18366004526615143
4,4000,-1.2797255516052246,1.0320500135421753,0.005878802388906479,0.08416340500116348
5,5000,-1.429026484489441,1.241498589515686,0.013544019311666489,0.17961178719997406
6,6000,-2.074544906616211,2.4948859214782715,0.005594803020358086,0.21128807961940765
7,7000,-6.993305683135986,6.608780860900879,-0.024857647716999054,0.531581461429596
8,8000,-3.2825686931610107,4.447007656097412,0.033834345638751984,0.4560750722885132
9,9000,-7.069985866546631,7.375535011291504,-0.033291302621364594,0.5766942501068115
10,10000,-1.6524548530578613,3.3914542198181152,-0.007688985206186771,0.1914907842874527
