epoch,step,min,max,mean,std
1,1000,-7.545653343200684,-7.545653343200684,-7.545653343200684,0.0
2,2000,-6.942646503448486,-6.942646503448486,-6.942646503448486,0.0
3,3000,-6.444914817810059,-6.444914817810059,-6.444914817810059,0.0
4,4000,-5.956044673919678,-5.956044673919678,-5.956044673919678,0.0
5,5000,-5.463573455810547,-5.463573455810547,-5.463573455810547,0.0
6,6000,-5.038364887237549,-5.038364887237549,-5.038364887237549,0.0
7,7000,-4.56583309173584,-4.56583309173584,-4.56583309173584,0.0
8,8000,-4.1454572677612305,-4.1454572677612305,-4.1454572677612305,0.0
9,9000,-3.7607431411743164,-3.7607431411743164,-3.7607431411743164,0.0
10,10000,-3.473247766494751,-3.473247766494751,-3.473247766494751,0.0
11,11000,-3.119962692260742,-3.119962692260742,-3.119962692260742,0.0
12,12000,-2.8726327419281006,-2.8726327419281006,-2.8726327419281006,0.0
13,13000,-2.649085283279419,-2.649085283279419,-2.649085283279419,0.0
14,14000,-2.4024152755737305,-2.4024152755737305,-2.4024152755737305,0.0
15,15000,-2.2051944732666016,-2.2051944732666016,-2.2051944732666016,0.0
