epoch,step,min,max,mean,std
1,1000,-0.009355245158076286,0.010448726825416088,-0.0001964028342626989,0.0028991715516895056
2,2000,-0.013309268280863762,0.011920132674276829,-0.0004321106243878603,0.0034554593730717897
3,3000,-0.007142134942114353,0.010210654698312283,0.00042636884609237313,0.002708521205931902
4,4000,-0.014296261593699455,0.01144160982221365,-0.00010868431127164513,0.002796230837702751
5,5000,-0.005480047315359116,0.007835054770112038,8.556119428249076e-05,0.0017489728052169085
6,6000,-0.008998269215226173,0.009511318057775497,-0.0002733230357989669,0.002329732058569789
7,7000,-0.009531774558126926,0.006438396871089935,2.3091344701242633e-05,0.001735094003379345
8,8000,-0.007183141075074673,0.005315732676535845,8.211354725062847e-07,0.0013529749121516943
9,9000,-0.005250846967101097,0.009407967329025269,3.856133116642013e-05,0.0016237806994467974
10,10000,-0.006136256270110607,0.004840243607759476,-4.2546133045107126e-05,0.0013328591594472528
11,11000,-0.003893518354743719,0.004230744671076536,-3.3921249269042164e-05,0.0009127464727498591
12,12000,-0.012568549253046513,0.005779772065579891,-6.800088158342987e-06,0.0015678222989663482
13,13000,-0.005758766084909439,0.004198082257062197,-3.8352140109054744e-05,0.0010715409880504012
14,14000,-0.004969954956322908,0.006907499395310879,6.032789315213449e-05,0.0012135476572439075
15,15000,-0.00350290909409523,0.006189155392348766,4.149995220359415e-05,0.0009176402818411589
